method,nfe,energy,sw1,sec
ancestral,1,0.3573949337005615,0.5647890567779541,0.002554183127358556
ancestral,2,0.3565046787261963,0.5637797117233276,0.004344235872849822
ancestral,4,0.23360419273376465,0.4410279095172882,0.005793236894533038
ancestral,10,0.03060758113861084,0.16134895384311676,0.018061140086501837
ancestral,20,0.005454063415527344,0.06642790138721466,0.03560328995808959
ancestral,50,0.0014405250549316406,0.03214605897665024,0.09923480404540896
ancestral,250,0.0010625123977661133,0.02955320104956627,0.4497788150329143
ancestral,1000,0.0007475614547729492,0.023324571549892426,1.677236796123907
ddim,1,0.3573949337005615,0.5647890567779541,0.0032936418429017067
ddim,2,0.3494606018066406,0.5586001873016357,0.0045222570188343525
ddim,4,0.19710040092468262,0.40229740738868713,0.007997858105227351
ddim,10,0.01741492748260498,0.12005999684333801,0.015031112125143409
ddim,20,0.003771066665649414,0.05510510504245758,0.02414050791412592
ddim,50,0.001337289810180664,0.03207072615623474,0.0664281970821321
ddim,250,0.0009255409240722656,0.025828812271356583,0.3191148980986327
ddim,1000,0.0008944272994995117,0.02537362277507782,1.1916565319988877
