method,nfe,energy,sw1,sec
fm,1,0.8828628063201904,0.850944995880127,0.001859984127804637
fm,2,0.17964661121368408,0.3845921754837036,0.0030531659722328186
fm,4,0.03998076915740967,0.1857338547706604,0.005348052131012082
fm,10,0.00563359260559082,0.06831437349319458,0.013109848834574223
fm,20,0.002041935920715332,0.0400308296084404,0.026493360055610538
fm,50,0.0010478496551513672,0.027762334793806076,0.062139099929481745
fm,250,0.0008473396301269531,0.024194922298192978,0.29491946497000754
fm,1000,0.0008375644683837891,0.024041051045060158,1.193297813879326
