objective,nfe,energy,sw1,self_dev,start_deg,viol_pct,smooth,sec_batch,ms_per_nfe_batch1
ddpm,1,8.922904968261719,0.4806889295578003,5.0784831047058105,72.74268341064453,0.0,0.8523765206336975,0.008348952047526836,1.793465157970786
ddpm,2,8.57339859008789,0.46610942482948303,4.981095314025879,71.0905990600586,0.0,0.8340709209442139,0.011863928055390716,1.793465157970786
ddpm,4,0.647587776184082,0.0799511969089508,0.6679710149765015,7.669704914093018,0.0,0.019529959186911583,0.02109858999028802,1.793465157970786
ddpm,10,0.1602621078491211,0.039194025099277496,0.2621537446975708,10.848478317260742,0.0,0.018425248563289642,0.0480864888522774,1.793465157970786
ddpm,20,0.082061767578125,0.026902280747890472,0.12527570128440857,12.85728645324707,0.0,0.018156463280320168,0.09543251991271973,1.793465157970786
ddpm,50,0.06695938110351562,0.024152176454663277,0.0523875430226326,14.197364807128906,0.0,0.018773404881358147,0.23375463904812932,1.793465157970786
fm,1,0.8752193450927734,0.09273102879524231,1.1155003309249878,2.5878543853759766,0.0,0.0180494524538517,0.008207880891859531,1.793465157970786
fm,2,0.42444801330566406,0.0655248612165451,0.5787404775619507,3.053494691848755,0.0,0.014753720723092556,0.011470573954284191,1.793465157970786
fm,4,0.19181346893310547,0.04344414547085762,0.3282013237476349,3.2255053520202637,0.0,0.015744268894195557,0.020075621781870723,1.793465157970786
fm,10,0.086395263671875,0.027684593573212624,0.1428074687719345,3.4813175201416016,0.0,0.016346940770745277,0.047669943887740374,1.793465157970786
fm,20,0.06499671936035156,0.023570232093334198,0.07119771093130112,3.9683330059051514,0.0,0.01692655310034752,0.09344945289194584,1.793465157970786
fm,50,0.057544708251953125,0.02211626246571541,0.025097424164414406,4.460032939910889,0.0,0.01759965904057026,0.23127899505198002,1.793465157970786
