method,straightness,train_steps,pairs_made,one_step_std_x,one_step_std_y
fm-1rect,0.9074926376342773,12000,0,0.01786280982196331,0.020620429888367653
fm-2rect,1.4888418263581116e-05,20000,16384,0.9881789088249207,0.9999011158943176
fm-3rect,1.4092133824306075e-05,28000,32768,0.9879728555679321,1.0001609325408936
