tag,use_vae,l1_z0,determinism_maxdiff,z_sample_spread,l1_z_sampled_mean,mid_amp_true,mid_amp_pred,amp_ratio,l1_branch_up,l1_branch_down
CVAE (use_vae=True),True,0.3391203284263611,0.0,0.018665973097085953,0.33826103806495667,0.5459946990013123,0.2423011064529419,0.443779228802292,0.3778248131275177,0.30470046401023865
순수 l1 회귀 (use_vae=False),False,0.3478597402572632,0.0,nan,nan,0.5459946990013123,0.24418461322784424,0.44722890840238244,0.346991628408432,0.34863176941871643
